date,region,value
2026-01,강원,21761
2026-01,충북,18475
2026-01,충남,32181
2026-01,전북,14734
2026-01,전남,10386
2026-01,경북,22069
2026-01,경남,36422
2026-01,제주,3111
2026-02,전국,718022
2026-02,서울,107725
2026-02,부산,70817
2026-02,대구,47555
2026-02,인천,53583
2026-02,광주,29971
2026-02,대전,23157
2026-02,울산,14695
2026-02,세종,10387
2026-02,경기,200214
2026-02,강원,21955
2026-02,충북,18658
2026-02,충남,32087
2026-02,전북,14942
2026-02,전남,10252
2026-02,경북,22054
2026-02,경남,36746
2026-02,제주,3224
2026-03,전국,723587
2026-03,서울,107757
2026-03,부산,72281
2026-03,대구,47050
2026-03,인천,54594
2026-03,광주,30959
2026-03,대전,23798
2026-03,울산,15040
2026-03,세종,10569
2026-03,경기,200067
2026-03,강원,22273
2026-03,충북,18648
2026-03,충남,32375
2026-03,전북,15070
2026-03,전남,10439
2026-03,경북,22312
2026-03,경남,37051
2026-03,제주,3304
2026-04,전국,711296
2026-04,서울,102893
2026-04,부산,72800
2026-04,대구,47160
2026-04,인천,53976
2026-04,광주,30877
2026-04,대전,23782
2026-04,울산,15159
2026-04,세종,10708
2026-04,경기,193335
2026-04,강원,22123
2026-04,충북,18055
2026-04,충남,32373
2026-04,전북,15145
2026-04,전남,10366
2026-04,경북,22237
2026-04,경남,36927
2026-04,제주,3380
2026-05,전국,687677
2026-05,서울,94225
2026-05,부산,73038
2026-05,대구,46279
2026-05,인천,53183
2026-05,광주,30991
2026-05,대전,23504
2026-05,울산,15276
2026-05,세종,10769
2026-05,경기,183202
2026-05,강원,21810
2026-05,충북,17537
2026-05,충남,32259
2026-05,전북,14951
2026-05,전남,10127
2026-05,경북,21637
2026-05,경남,35627
2026-05,제주,3262
2026-06,전국,685245
2026-06,서울,98101
2026-06,부산,72887
2026-06,대구,45720
2026-06,인천,52838
2026-06,광주,30887
2026-06,대전,23635
2026-06,울산,15559
2026-06,세종,10965
2026-06,경기,177836
2026-06,강원,21995
2026-06,충북,17380
2026-06,충남,32391
2026-06,전북,14762
2026-06,전남,10095
2026-06,경북,21732
2026-06,경남,35130
2026-06,제주,3332
